state,pc_name,2019_votes,2024_votes,change
Andaman & Nicobar,Andaman and Nicobar Islands,207080,202018,-2.4
Andhra Pradesh,Amalapuram,1224547,1284018,4.9
Andhra Pradesh,Anakapalli,1232881,1309977,6.3
Andhra Pradesh,Anantapuramu,1334375,1423108,6.7
Andhra Pradesh,Araku,1067362,1145426,7.3
Andhra Pradesh,Bapatla,1254570,1287704,2.6
Andhra Pradesh,Chittoor,1309172,1406880,7.5
Andhra Pradesh,Eluru,1322048,1370153,3.6
Andhra Pradesh,Guntur,1346210,1411989,4.9
Andhra Pradesh,Hindupur,1326843,1403259,5.8
Andhra Pradesh,Kakinada,1227399,1312255,6.9
Andhra Pradesh,Machilipatnam,1235472,1293935,4.7
Andhra Pradesh,Nandyal,1288476,1387367,7.7
Andhra Pradesh,Narasaraopet,1429525,1485909,3.9
Andhra Pradesh,Narsapuram,1168907,1216550,4.1
Andhra Pradesh,Nellore,1273934,1353563,6.3
Andhra Pradesh,Ongole,1323296,1399707,5.8
Andhra Pradesh,Rajahmundry,1244688,1313630,5.5
Andhra Pradesh,Rajampet,1212774,1317448,8.6
Andhra Pradesh,Srikakulam,1143011,1214128,6.2
Andhra Pradesh,Vijayawada,1273132,1352495,6.2
Andhra Pradesh,Visakhapatnam,1233026,1370484,11.2
Andhra Pradesh,Vizianagaram,1208909,1284886,6.3
Andhra Pradesh,Kadapa,1219648,1304256,6.9
Andhra Pradesh,Kurnool,1182157,1323071,11.9
Andhra Pradesh,Tirupati,1304262,1368362,4.9
Arunachal Pradesh,Arunachal East,282854,312658,10.5
Arunachal Pradesh,Arunachal West,344123,380783,10.7
Assam,Barpeta,1452238,1676633,15.5
Assam,Dhubri,1682616,2450041,45.6
Assam,Dibrugarh,1013677,1273744,25.7
Assam,Gauhati,1761240,1596664,-9.3
Assam,Jorhat,1054239,1379749,30.9
Assam,Kokrajhar,1469564,1240306,-15.6
Assam,Lakhimpur,1280028,1205331,-5.8
Assam,Silchar,944802,1082616,14.6
Bihar,Araria,1169098,1250261,6.9
Bihar,Aurangabad,932832,942382,1
Bihar,Banka,994120,1011513,1.8
Bihar,Begusarai,1217416,1289076,5.9
Bihar,Bhagalpur,1040096,1060982,2
Bihar,Darbhanga,962082,1021962,6.2
Bihar,Gaya,955102,958623,0.4
Bihar,Hajipur,1004086,1149406,14.5
Bihar,Jamui,947306,977369,3.2
Bihar,Jhanjharpur,1059252,1091258,3
Bihar,Katihar,1117024,1168752,4.6
Bihar,Khagaria,965112,1058539,9.7
Bihar,Kishanganj,1100991,1149988,4.5
Bihar,Madhepura,1145723,1207368,5.4
Bihar,Madhubani,962294,1026408,6.7
Bihar,Munger,1031021,1134548,10
Bihar,Muzaffarpur,1053964,1109688,5.3
Bihar,Nawada,935355,866102,-7.4
Bihar,Purnia,1153151,1194484,3.6
Bihar,Samastipur,1017133,1093182,7.5
Bihar,Saran,938708,1018366,8.5
Bihar,Sitamarhi,1034367,1094885,5.9
Bihar,Supaul,1109840,1224821,10.4
Bihar,Ujiarpur,966779,1040026,7.6
Chhattisgarh,Bastar,909975,1005392,10.5
Chhattisgarh,Bilaspur,1207383,1361871,12.8
Chhattisgarh,Durg,1389361,1540193,10.9
Chhattisgarh,Kanker,1154829,1261103,9.2
Chhattisgarh,Korba,1135036,1224268,7.9
Chhattisgarh,Mahasamund,1219760,1322125,8.4
Chhattisgarh,Raigarh,1346863,1449673,7.6
Chhattisgarh,Raipur,1393291,1587116,13.9
Chhattisgarh,Rajnandgaon,1304496,1446247,10.9
Chhattisgarh,Surguja,1278392,1453444,13.7
Chhattisgarh,Janjgir Champa,1242980,1389012,11.8
Dadra & Nagar Haveli,Dadra and Nagar Haveli,198925,205248,3.2
Dadra & Nagar Haveli,Daman and Diu,87441,92279,5.5
Goa,North Goa,427594,451042,5.5
Goa,South Goa,423657,445916,5.3
Gujarat,Ahmedabad East,1109296,1115317,0.5
Gujarat,Ahmedabad West,991702,957573,-3.4
Gujarat,Amreli,907519,871373,-4
Gujarat,Anand,1105707,1157763,4.7
Gujarat,Banaskantha,1096970,1365989,24.5
Gujarat,Bardoli,1343651,1327669,-1.2
Gujarat,Bharuch,1145510,1191877,4.1
Gujarat,Bhavnagar,1032120,1033629,0.2
Gujarat,Chhota Udaipur,1226842,1259760,2.7
Gujarat,Dahod,1057486,1112211,5.2
Gujarat,Gandhinagar,1275453,1305197,2.3
Gujarat,Jamnagar,1004782,1048410,4.3
Gujarat,Junagadh,997025,1057462,6.1
Gujarat,Kachchh,1015195,1090878,7.5
Gujarat,Kheda,1094038,1166619,6.6
Gujarat,Mahesana,1077047,1059938,-1.6
Gujarat,Navsari,1303081,1326542,1.8
Gujarat,Panchmahal,1076137,1116171,3.7
Gujarat,Patan,1120373,1182950,5.6
Gujarat,Porbandar,943341,916519,-2.8
Gujarat,Rajkot,1189712,1260768,6
Gujarat,Sabarkantha,1208168,1256210,4
Gujarat,Surendranagar,1069251,1120128,4.8
Gujarat,Vadodara,1217906,1200768,-1.4
Gujarat,Valsad,1256838,1352413,7.6
Jammu & Kashmir,Baramulla,452114,1027084,127.2
Jammu & Kashmir,Jammu,1455290,1286144,-11.6
Jammu & Kashmir,Srinagar,186366,672653,260.9
Jammu & Kashmir,Udhampur,1169095,1108206,-5.2
Jharkhand,Chatra,922361,1076352,16.7
Jharkhand,Hazaribagh,1079155,1248798,15.7
Jharkhand,Khunti,830426,927422,11.7
Jharkhand,Kodarma,1208254,1363010,12.8
Jharkhand,Lohardaga,813860,957690,17.7
Jharkhand,Palamu,1205969,1374358,14
Jharkhand,Singhbhum,878480,1003482,14.2
Karnataka,Bagalkot,1200756,1312319,9.3
Karnataka,Bangalore Central,1194705,1315612,10.1
Karnataka,Bangalore North,1555694,1750372,12.5
Karnataka,Bangalore Rural,1620398,1914030,18.1
Karnataka,Bangalore South,1185137,1245168,5.1
Karnataka,Bellary,1219077,1386553,13.7
Karnataka,Bidar,1114152,1239358,11.2
Karnataka,Bijapur,1108781,1290719,16.4
Karnataka,Chamarajanagar,1267715,1366015,7.8
Karnataka,Chikballapur,1385069,1525718,10.2
Karnataka,Chikodi,1212345,1385688,14.3
Karnataka,Chitradurga,1243035,1361031,9.5
Karnataka,Dakshina Kannada,1343213,1409653,5
Karnataka,Davangere,1192293,1315916,10.4
Karnataka,Dharwad,1210518,1362421,12.6
Karnataka,Gulbarga,1185645,1306119,10.2
Karnataka,Haveri,1263296,1391214,10.1
Karnataka,Kolar,1256371,1351646,7.6
Karnataka,Koppal,1187710,1324898,11.6
Karnataka,Mandya,1376366,1453060,5.6
Karnataka,Mysore,1312478,1477576,12.6
Karnataka,Raichur,1122152,1299806,15.8
Karnataka,Shimoga,1282279,1372949,7.1
Karnataka,Tumkur,1241528,1296720,4.5
Karnataka,Udupi Chikmagalur,1149131,1222888,6.4
Karnataka,Uttara Kannada,1150261,1256027,9.2
Karnataka,Belagavi,1199117,1375283,14.7
Karnataka,Haasan,1274438,1348966,5.9
Kerala,Alappuzha,1082522,1050726,-2.9
Kerala,Alathur,1015892,981945,-3.3
Kerala,Attingal,999258,970517,-2.9
Kerala,Chalakudy,988883,942787,-4.7
Kerala,Ernakulam,965801,904131,-6.4
Kerala,Idukki,917568,831936,-9.3
Kerala,Kannur,1047925,1048839,0.1
Kerala,Kasaragod,1096143,1104331,0.8
Kerala,Kollam,961288,904047,-6
Kerala,Kottayam,907719,823237,-9.3
Kerala,Kozhikode,1071533,1079683,0.8
Kerala,Malappuram,1032997,1079547,4.5
Kerala,Palakkad,1025983,1028627,0.3
Kerala,Pathanamthitta,1022693,906051,-11.4
Kerala,Ponnani,1016341,1019889,0.4
Kerala,Thiruvananthapuram,1003735,950829,-5.3
Kerala,Thrissur,1040318,1081125,3.9
Kerala,Vadakara,1060838,1114950,5.1
Kerala,Wayanad,1089915,1075921,-1.3
Kerala,Mavelikara,964289,878360,-8.9
Lakshadweep,Lakshadweep,46877,48630,3.7
Madhya Pradesh,Balaghat,1366885,1376207,0.7
Madhya Pradesh,Betul,1356580,1393608,2.7
Madhya Pradesh,Bhind,954959,1044022,9.3
Madhya Pradesh,Bhopal,1406236,1498626,6.6
Madhya Pradesh,Chhindwara,1246210,1303001,4.6
Madhya Pradesh,Damoh,1163801,1087455,-6.6
Madhya Pradesh,Dewas,1396744,1464690,4.9
Madhya Pradesh,Dhar,1342546,1421585,5.9
Madhya Pradesh,Guna,1172627,1368554,16.7
Madhya Pradesh,Gwalior,1192526,1338708,12.3
Madhya Pradesh,Hoshangabad,1264679,1247298,-1.4
Madhya Pradesh,Indore,1626736,1558341,-4.2
Madhya Pradesh,Jabalpur,1262611,1156722,-8.4
Madhya Pradesh,Khajuraho,1256770,1137867,-9.5
Madhya Pradesh,Khandwa,1466341,1510588,3
Madhya Pradesh,Khargone,1425298,1555585,9.1
Madhya Pradesh,Mandla,1513959,1530861,1.1
Madhya Pradesh,Mandsaur,1369105,1428623,4.4
Madhya Pradesh,Morena,1132768,1183282,4.5
Madhya Pradesh,Rajgarh,1258060,1425911,13.3
Madhya Pradesh,Ratlam,1397455,1527828,9.3
Madhya Pradesh,Rewa,1009607,915444,-9.3
Madhya Pradesh,Sagar,1035874,1147866,10.8
Madhya Pradesh,Satna,1111916,1056175,-5
Madhya Pradesh,Shahdol,1234773,1149506,-6.9
Madhya Pradesh,Sidhi,1280946,1146150,-10.5
Madhya Pradesh,Tikamgarh,1094935,1096023,0.1
Madhya Pradesh,Ujjain,1250465,1327715,6.2
Madhya Pradesh,Vidisha,1246409,1449010,16.3
Maharashtra,Ahmednagar,1191905,1320168,10.8
Maharashtra,Akola,1116902,1168366,4.6
Maharashtra,Amravati,1104947,1169121,5.8
Maharashtra,Aurangabad,1196449,1298227,8.5
